text@dig1967m	@dig1967m	55.562	56.858	Сергей Пантелеевич добрый день //
text@dig1967m	@dig1967m	57.816	73.154	я очень рад сегодня быть у вас в гостях / по одной простой причине я не скрываю этого вы мне очень интересны / и время интересное и / ваша судьба / и я думаю что сегодня у нас получится беседа которая заинтересует миллионы телезрителей //
text@dig1967m	@dig1967m	75.034	84.539	я знаю что вы родились с врожденным пороком сердца // и врачи не давали вам больше восемнадцати лет жизни они сказали что до восемнадцати лет вы обязательно умрете // 
text@dig1967m	@dig1967m	84.539	85.646	это правда ? //
text@dig1967m	@dig1967m	97.253	100.661	вы тем не менее умудрились быть чемпионом москвы по самбо #усмехается#
text@dig1967m	@dig1967m	118.084	122.718	у вас было двенадцать сотрясений мозга #усмехается# где можно столько заработать скажите мне
text@dig1967m	@dig1967m	137.577	140.112	наложило какие-то / какой-то отпечаток вообще #смеется# ? //
text@dig1967m	@dig1967m	142.048	145.028	ну мне говорили что вы обладаете просто феноменальной памятью
text@dig1967m	@dig1967m	162.28	165.464	вы на слух / вы на слух могли повторить / или вы читали ? //
text@dig1967m	@dig1967m	174.4	183.901	э также я знаю что / э / вы математик и имели незаурядные и имеете наверняка незаурядные способности в области физики и математики //
text@dig1967m	@dig1967m	184.72	185.678	в чем это проявлялось ? 
text@dig1967m	@dig1967m	226.464	227.718	знаменитый физтех//
text@dig1967m	@dig1967m	343.661	344.384	госдумы России //
text@dig1967m	@dig1967m	377.225	378.929	охладели и перегорели да
text@dig1967m	@dig1967m	396.864	397.47	гранит //
text@dig1967m	@dig1967m	408.21	415.337	Сергей Пантелеевич / знаю в свое время в финале одной из физических олимпиад вы решали задачу // почему человек тонет в болоте // 
text@dig1967m	@dig1967m	415.351	416.774	 вы ее решили ? //
text@spm1955m	@spm1955m	57.555	57.802	добрый//
text@spm1955m	@spm1955m	73.788	74.605	будем надеяться //
text@spm1955m	@spm1955m	85.977	97.028	ну как обязательно / ну говорили что наиболее вероятный исход именно таков будет да что я очень болезненным был ребенком аа в общем // больше чем до восемнацати лет мне не обещали
text@spm1955m	@spm1955m	101.076	118.07	да / ну / у меня к восемнадцати годам как раз все прошло / вот как ни странно то есть у меня / ну собственно врачи так и говорили что либо у него к восемнадцати годам как-то вот / чето пройдет то либо вот он / ну скорее всего конечно он не доживет до восемнадцати лет // я дожил / и да
text@spm1955m	@spm1955m	122.689	137.183	вы знаете я был очень непоседливым ребенком то есть в обычные это самое бытовые совершенно / вот там как-то все время мне не везло / вот то упадешь там головой / то там вот именно в таких вот в таких бытовых не в драках ни в каких а именно вот так вот в бытовых // вещах вот да #нрзб# двенадцать сотрясений у меня было
text@spm1955m	@spm1955m	140.112	141.971	ну не знаю вам судить #смеется#
text@spm1955m	@spm1955m	145.066	162.816	обладал / вот когда вот да вот этот момент был / что в детстве обладал феноменальной памятью ээ / то есть вот любой отрывок практически э / практически любого размера который #нрзб# не читали я его мог повторить / но в результате этих сотрясений память / у меня стала просто хорошая ну и / слава богу / нафиг она нужна феноменальная
text@spm1955m	@spm1955m	165.478	174.21	нет нет мне вот читали отрывок / на слух и я его мог повторить но щас я уже не могу не надо этих экспериментов если вы там держите память у меня стала просто обычная #смеется#
text@spm1955m	@spm1955m	187.6	188.403	#вздыхает#
text@spm1955m	@spm1955m	189.225	205.527	ну в школе я вел там / за / преподавателя зачастую уроки да по математике это было // там олимпиады // различные то есть мне математика ну вы знаете я в общем-то математику физику / мне это нравилось / но // 
text@spm1955m	@spm1955m	206.787	214.956	уже к первому курсу / я охладел к математике физике // мне это перестало нравиться / но вот я //
text@spm1955m	@spm1955m	216.183	222.0	 не помню где-нибудь  рассказывал или нет но вообще я мечтал / у меня интересно с этой математикой физикой история получилась я //
text@spm1955m	@spm1955m	223.182	233.535	в детстве мечтал поступить в физтех / вот все время // то есть у меня была мечта / да Физтех вот у меня была мечта но так как я был победителем всех на свете олимпиад то мне нужно было сдать один экзамен //
text@spm1955m	@spm1955m	234.463	240.473	и физтеховской олимпиады в том числе / насколько я помню / мне нужно было сдать один экзамен / письменный это самое устную / письменную физику//
text@spm1955m	@spm1955m	241.556	248.711	чтобы по... поступить // если я сдавал на пятерку в смысле то я поступал если нет то мне нужно было сдавать все остальные / на общих основаниях //
text@spm1955m	@spm1955m	250.097	251.492	ну и вот я//
text@spm1955m	@spm1955m	252.788	275.591	 обычно во всех олимпиадах я вообще / не тратил обычно у меня все это занимало полчаса буквально я прихожу там / пишу // сдаю и ухожу / никогда даже не проверял / но так как я это была моя мечта Физтех то я так этому отнесся я там вообще сидел все проверил десять раз там перепроверил / все задачи сформулировал / как проблему / решил как проблему / то есть ну все //
text@spm1955m	@spm1955m	276.21	277.154	прихожу три //
text@spm1955m	@spm1955m	278.182	280.493	ну это не может быть какой же мне показывают в общем //
text@spm1955m	@spm1955m	281.225	284.549	это самое / а там собеседование / и тебе объясняют твои ошибки //
text@spm1955m	@spm1955m	285.175	294.312	я смотрю все решено и одна задача / чисто арифметическая ошибка ну типо там дважды два пять ну так как я вообще так как / так уж хотел то я все подробно расписал и вот / и // переусердствовал и //
text@spm1955m	@spm1955m	295.509	301.297	я говорю там экзаменатору вообще / это что вообще такое / я что сдаю физику или арифметику это же чисто арифметическая ошибка //
text@spm1955m	@spm1955m	302.607	314.873	он говорит да молодой человек вот как щас помню / сидит такой // с понтом и разговаривает и мне объясняет / да молодой человек / ц // ошибка арифметическая но вы поступаете в физико-технический институт //
text@spm1955m	@spm1955m	315.548	320.464	у вас мощность электрической плитки получилась там десять миллионов ватт / и вас это нисколько не удивило ? //
text@spm1955m	@spm1955m	320.915	333.962	ц // #нрзб# пошли вы нафиг с вашей плиткой / с вашими ваттами / забрал документы оттуда и поступил // ц // в этот самый / в электронномашиностроительный факультет прикладной математики  ну / судьба  перст судьбы //
text@spm1955m	@spm1955m	334.619	335.943	а потом #усмехается# // 
text@spm1955m	@spm1955m	337.239	339.309	очень интересное продолжение было этой истории //
text@spm1955m	@spm1955m	340.618	350.901	когда я стал депутатом / вот казалось бы #нрзб# / вот там да такая вот / вот как вот / казалось бы / вот я / хотел поступить вот в Физтех / там вот мечтал /
text@spm1955m	@spm1955m	351.101	385.338	и потом прошло много лет // ц // я стал / создал МММ там / сидел в тюрьме вышел / вот / стал депутатом // и стал депутатом как раз по Мытищинскому округу где и расположен Физтех / ц / ко мне приходит мой помощник говорит Сергей Пантелеевич / к нам обратилось вышло на меня руководство Физтеха не хотите вот стать там доктором наук от них они все напишут / надо только / ваше согласие ц / но к этому моменту мне все это уже нафиг было не надо да я говорю нет / хороша ложка к обеду вот я это к тому что очень интересно / как судьба играет вот / казалось бы //
text@spm1955m	@spm1955m	386.225	391.845	вот оптимальный путь стать / вот если мне сказали в школе / что вот я стану доктором Физтеха это вообще
text@spm1955m	@spm1955m	392.745	407.788	и казалось оптимальный путь это поступить в институт там учиться грызть / ну / там гранит науки кончить аспирантуру там и прочее / ан нет оказывается / оптимальный путь был создать МММ // стать депутатом и тогда тебе все на блюдечке с голубой каемочкой / но к сожалению невовремя //
text@spm1955m	@spm1955m	415.999	416.449	да //
text@spm1955m	@spm1955m	417.386	428.394	да / человек // ну потому что болото я там / уже по-моему где-то тоже это говорил что / болото это // не жидкость а взвесь мельчайших частиц / поэтому там давление передается не равномерно как в жидкости //
words@spm1955m	@spm1955m	57.555	57.637	добрый
words@spm1955m	@spm1955m	57.637	57.719	/
words@spm1955m	@spm1955m	57.719	57.802	/
words@spm1955m	@spm1955m	73.788	73.992	будем
words@spm1955m	@spm1955m	73.992	74.196	надеяться
words@spm1955m	@spm1955m	74.196	74.4	/
words@spm1955m	@spm1955m	74.4	74.605	/
words@spm1955m	@spm1955m	85.977	86.311	ну
words@spm1955m	@spm1955m	86.311	86.645	как
words@spm1955m	@spm1955m	86.645	86.979	обязательно
words@spm1955m	@spm1955m	86.979	87.313	/
words@spm1955m	@spm1955m	87.313	87.647	ну
words@spm1955m	@spm1955m	87.647	87.981	говорили
words@spm1955m	@spm1955m	87.981	88.315	что
words@spm1955m	@spm1955m	88.315	88.649	наиболее
words@spm1955m	@spm1955m	88.649	88.983	вероятный
words@spm1955m	@spm1955m	88.983	89.317	исход
words@spm1955m	@spm1955m	89.317	89.651	именно
words@spm1955m	@spm1955m	89.651	89.985	таков
words@spm1955m	@spm1955m	89.985	90.319	будет
words@spm1955m	@spm1955m	90.319	90.653	да
words@spm1955m	@spm1955m	90.653	90.987	что
words@spm1955m	@spm1955m	90.987	91.321	я
words@spm1955m	@spm1955m	91.321	91.655	очень
words@spm1955m	@spm1955m	91.655	91.989	болезненным
words@spm1955m	@spm1955m	91.989	92.323	был
words@spm1955m	@spm1955m	92.323	92.657	ребенком
words@spm1955m	@spm1955m	92.657	92.991	аа
words@spm1955m	@spm1955m	92.991	93.325	в
words@spm1955m	@spm1955m	93.325	93.659	общем
words@spm1955m	@spm1955m	93.659	93.993	/
words@spm1955m	@spm1955m	93.993	94.327	/
words@spm1955m	@spm1955m	94.327	94.661	больше
words@spm1955m	@spm1955m	94.661	94.995	чем
words@spm1955m	@spm1955m	94.995	95.329	до
words@spm1955m	@spm1955m	95.329	95.663	восемнацати
words@spm1955m	@spm1955m	95.663	95.997	лет
words@spm1955m	@spm1955m	95.997	96.331	мне
words@spm1955m	@spm1955m	96.331	96.665	не
words@spm1955m	@spm1955m	96.665	97.028	обещали
words@spm1955m	@spm1955m	101.076	101.345	да
words@spm1955m	@spm1955m	101.345	101.614	/
words@spm1955m	@spm1955m	101.614	101.883	ну
words@spm1955m	@spm1955m	101.883	102.152	/
words@spm1955m	@spm1955m	102.152	102.421	у
words@spm1955m	@spm1955m	102.421	102.69	меня
words@spm1955m	@spm1955m	102.69	102.959	к
words@spm1955m	@spm1955m	102.959	103.228	восемнадцати
words@spm1955m	@spm1955m	103.228	103.497	годам
words@spm1955m	@spm1955m	103.497	103.766	как
words@spm1955m	@spm1955m	103.766	104.035	раз
words@spm1955m	@spm1955m	104.035	104.304	все
words@spm1955m	@spm1955m	104.304	104.573	прошло
words@spm1955m	@spm1955m	104.573	104.842	/
words@spm1955m	@spm1955m	104.842	105.111	вот
words@spm1955m	@spm1955m	105.111	105.38	как
words@spm1955m	@spm1955m	105.38	105.649	ни
words@spm1955m	@spm1955m	105.649	105.918	странно
words@spm1955m	@spm1955m	105.918	106.187	то
words@spm1955m	@spm1955m	106.187	106.456	есть
words@spm1955m	@spm1955m	106.456	106.725	у
